Times,Género,Nivel máximo de estudios,Alcaldía,Edad,¿Has escuchado alguna vez sobre la existencia de la violencia de género?,¿Consideras un problema la violencia de género?,¿Alguna ves has presenciado violencia de género?,¿Donde has presenciado violencia de género?,¿Cuáles crees que podrían ser formas de Violencia de género?,¿Por qué motivo crees que se dé la violencia de género?,¿Dentro de tu núcleo familiar has visto alguna vez violencia de género?,¿Qué te provoca esta encuesta?,,,,,,,,,,,,,,,,,,,,,,,,,
3/26/2021 19:19:17,Mujer,Maestría,Azcapotzalco,32,Sí,Sí,Sí,"En la familia, En el trabajo, En la escuela, En alguna institución (gobierno, salud, etc.)","Golpear, empujar, Agredir psicológicamente","Falta de educacion, Negligencia por parte de las autoridades",Sí,Me importa,,,,,,,,,,,,,,,,,,,,,,,,,
3/26/2021 19:24:59,Mujer,Universidad,Gustavo A. Madero,25,Sí,Sí,Sí,"En la familia, En la escuela",Todas las anteriores,"Falta de educacion, Religión, Costumbre familiar",Sí,Indiferencia,,,,,,,,,,,,,,,,,,,,,,,,,
3/26/2021 19:28:15,Mujer,Preparatoria,Venustiano Carranza,20,Sí,Sí,Sí,En la escuela,Todas las anteriores,Todas las anteriores,Tal vez,Me importa,,,,,,,,,,,,,,,,,,,,,,,,,
3/26/2021 19:31:48,Mujer,Secundaria,Miguel Hidalgo,21,Sí,Sí,Sí,Todas las anteriores,Todas las anteriores,Todas las anteriores,Sí,Me importa,,,,,,,,,,,,,,,,,,,,,,,,,
3/26/2021 19:31:49,Mujer,Universidad,Iztapalapa,25,Sí,Tal vez,No,Ninguno,Todas las anteriores,Falta de educacion,No,Indiferencia,,,,,,,,,,,,,,,,,,,,,,,,,
3/26/2021 19:32:00,Mujer,Secundaria,Miguel Hidalgo,21,Sí,Sí,Sí,Todas las anteriores,Todas las anteriores,Todas las anteriores,Sí,Me importa,,,,,,,,,,,,,,,,,,,,,,,,,
3/26/2021 19:32:35,Hombre,Universidad,Álvaro Obregón,22,Sí,Sí,No,Ninguno,Todas las anteriores,Todas las anteriores,No,Me importa,,,,,,,,,,,,,,,,,,,,,,,,,
3/26/2021 19:32:53,Mujer,Primaria,Otro,37,Sí,Sí,Sí,En la familia,"Abuso verbal, Golpear, empujar, Agredir psicológicamente, Menospreciar, Humillar, Acosar, Abuso sexual, Micro agresiones, Todas las anteriores","Falta de educacion, Costumbre familiar",Sí,Me importa,,,,,,,,,,,,,,,,,,,,,,,,,
3/26/2021 19:33:26,Mujer,Preparatoria,Gustavo A. Madero,23,Sí,Sí,Sí,Todas las anteriores,"Abuso verbal, Golpear, empujar, Agredir psicológicamente, Menospreciar, Humillar, Acosar, Abuso sexual, Micro agresiones, Todas las anteriores","Falta de educacion, Costumbre familiar, Negligencia por parte de las autoridades",Sí,Me importa,,,,,,,,,,,,,,,,,,,,,,,,,
3/26/2021 19:33:35,Mujer,Preparatoria,Gustavo A. Madero,23,Sí,Sí,Sí,Todas las anteriores,"Abuso verbal, Golpear, empujar, Agredir psicológicamente, Menospreciar, Humillar, Acosar, Abuso sexual, Micro agresiones, Todas las anteriores","Falta de educacion, Costumbre familiar, Negligencia por parte de las autoridades",Sí,Me importa,,,,,,,,,,,,,,,,,,,,,,,,,
3/26/2021 19:33:37,Hombre,Universidad,Miguel Hidalgo,22,Sí,Sí,Sí,Ninguno,Todas las anteriores,Todas las anteriores,No,Me importa,,,,,,,,,,,,,,,,,,,,,,,,,
3/26/2021 19:37:09,Mujer,Preparatoria,Azcapotzalco,20,Sí,Sí,Sí,"En la familia, En el trabajo, En la escuela, En alguna institución (gobierno, salud, etc.)","Abuso verbal, Golpear, empujar, Agredir psicológicamente, Menospreciar, Humillar, Acosar, Abuso sexual, Micro agresiones","Falta de educacion, Religión, Costumbre familiar, Falta de cultura, Apariencia física, Nivel educativo",Sí,Me importa,,,,,,,,,,,,,,,,,,,,,,,,,
3/26/2021 19:37:39,Mujer,Universidad,Otro,22,Sí,Sí,Sí,"En la familia, En la escuela, En alguna institución (gobierno, salud, etc.)",Todas las anteriores,"Falta de educacion, Costumbre familiar, Falta de cultura, Negligencia por parte de las autoridades",Sí,Molestia,,,,,,,,,,,,,,,,,,,,,,,,,
3/26/2021 19:38:08,Mujer,Universidad,Iztapalapa,22,Sí,Sí,Sí,En la calle,Todas las anteriores,Todas las anteriores,No,Me importa,,,,,,,,,,,,,,,,,,,,,,,,,
3/26/2021 19:42:21,Mujer,Preparatoria,Álvaro Obregón,20,Sí,Sí,Sí,"En la familia, En el trabajo, En la escuela",Todas las anteriores,"Falta de educacion, Religión, Costumbre familiar, Falta de cultura, Negligencia por parte de las autoridades",Sí,Me importa,,,,,,,,,,,,,,,,,,,,,,,,,
3/26/2021 19:45:41,Mujer,Preparatoria,Gustavo A. Madero,45,Sí,Sí,Sí,En la familia,Todas las anteriores,Todas las anteriores,Sí,Me importa,,,,,,,,,,,,,,,,,,,,,,,,,
3/26/2021 19:48:00,Hombre,Preparatoria,Gustavo A. Madero,46,Sí,Sí,Sí,Transporte público ,"Abuso verbal, Golpear, empujar, Agredir psicológicamente, Menospreciar, Humillar, Acosar, Abuso sexual, Micro agresiones, Todas las anteriores","Falta de educacion, Falta de cultura, Nivel educativo, Falta de difusión",No,Me importa,,,,,,,,,,,,,,,,,,,,,,,,,
3/26/2021 19:50:20,Mujer,Preparatoria,Miguel Hidalgo,20,Sí,Sí,Sí,Todas las anteriores,"Abuso verbal, Golpear, empujar, Agredir psicológicamente, Menospreciar, Humillar, Acosar, Abuso sexual, Micro agresiones, Todas las anteriores",Todas las anteriores,Sí,Me importa,,,,,,,,,,,,,,,,,,,,,,,,,
3/26/2021 19:52:30,Mujer,Preparatoria,Gustavo A. Madero,25,Sí,Sí,No,Ninguno,Todas las anteriores,"Falta de educacion, Falta de cultura, Negligencia por parte de las autoridades",No,Me importa,,,,,,,,,,,,,,,,,,,,,,,,,
3/26/2021 19:52:41,Mujer,Preparatoria,Gustavo A. Madero,25,Sí,Sí,No,Ninguno,Todas las anteriores,"Falta de educacion, Falta de cultura, Negligencia por parte de las autoridades",No,Me importa,,,,,,,,,,,,,,,,,,,,,,,,,
3/26/2021 20:02:35,Mujer,Universidad,Otro,26,Sí,Sí,Sí,En una relación ,Todas las anteriores,"Falta de educacion, Costumbre familiar, Falta de cultura, Negligencia por parte de las autoridades, Nivel educativo",No,Me importa,,,,,,,,,,,,,,,,,,,,,,,,,
3/26/2021 20:04:12,Mujer,Universidad,Gustavo A. Madero,21,Sí,Sí,No,Ninguno,Todas las anteriores,Todas las anteriores,No,Me importa,,,,,,,,,,,,,,,,,,,,,,,,,
3/26/2021 20:05:33,Mujer,Universidad,Iztacalco,23,Sí,Sí,Sí,"En el trabajo, En la escuela, En alguna institución (gobierno, salud, etc.)","Abuso verbal, Golpear, empujar, Agredir psicológicamente, Menospreciar, Humillar, Acosar, Abuso sexual, Micro agresiones","Falta de educacion, Religión, Costumbre familiar, Falta de cultura, Negligencia por parte de las autoridades, Apariencia física, Nivel educativo, Nivel socio económico, Falta de difusión",Tal vez,Me importa,,,,,,,,,,,,,,,,,,,,,,,,,
3/26/2021 20:08:04,Mujer,Preparatoria,Otro,22,Sí,Sí,Sí,En la escuela,Todas las anteriores,Todas las anteriores,No,Interés ,,,,,,,,,,,,,,,,,,,,,,,,,
3/26/2021 20:08:07,Prefiero no decirlo,Preparatoria,Gustavo A. Madero,22,Sí,Sí,Sí,"En la familia, En la escuela, En alguna institución (gobierno, salud, etc.)",Todas las anteriores,Todas las anteriores,Sí,Indiferencia,,,,,,,,,,,,,,,,,,,,,,,,,
3/26/2021 20:12:25,Mujer,Universidad,Gustavo A. Madero,21,Sí,Sí,Sí,"En la familia, En la escuela",Todas las anteriores,Todas las anteriores,Sí,Me importa,,,,,,,,,,,,,,,,,,,,,,,,,
3/26/2021 20:15:53,Mujer,Universidad,Álvaro Obregón,22,Sí,Sí,Sí,"En la familia, En la escuela",Todas las anteriores,"Falta de educacion, Religión, Costumbre familiar, Negligencia por parte de las autoridades, Apariencia física, Nivel educativo, Nivel socio económico",Sí,Me importa,,,,,,,,,,,,,,,,,,,,,,,,,
