Timestamp;G√©ner;Nivel m√°ximo de estudio;Alcald√≠;Edad;øHas escuchado alguna vez sobre la existencia de la violencia de gÈnero?;øConsideras un problema la violencia de gÈnero?;øAlguna ves has presenciado violencia de gÈnero?;øDonde has presenciado violencia de gÈnero?;øCu·les crees que podrÌan ser formas de Violencia de gÈnero?;øPor quÈ motivo crees que se dÈ la violencia de gÈnero?;øDentro de tu n˙cleo familiar has visto alguna vez violencia de gÈnero?;øQuÈ te provoca esta encuesta?;;;;;;;;;;;;;;;;;;;;;;;
3/26/2021 19:19:18;Mujer;Maestr√≠;Azcapotzalco;32;S√;S√;S√;En la familia, En el trabajo, En la escuela, En alguna instituci√≥n (gobierno, salud, etc.;Golpear, empujar, Agredir psicol√≥gicament;Falta de educacion, Negligencia por parte de las autoridades;S√;Me importa;;;;;;;;;;;;;;;;;;;;;;;
3/26/2021 19:25:00;Mujer;Universidad;Gustavo A. Madero;25;S√;S√;S√;En la familia, En la escuela;Todas las anteriores;Falta de educacion, Religi√≥n, Costumbre familia;S√;Indiferencia;;;;;;;;;;;;;;;;;;;;;;;
3/26/2021 19:28:16;Mujer;Preparatoria;Venustiano Carranza;20;S√;S√;S√;En la escuela;Todas las anteriores;Todas las anteriores;Tal vez;Me importa;;;;;;;;;;;;;;;;;;;;;;;
3/26/2021 19:31:48;Mujer;Secundaria;Miguel Hidalgo;21;S√;S√;S√;Todas las anteriores;Todas las anteriores;Todas las anteriores;S√;Me importa;;;;;;;;;;;;;;;;;;;;;;;
3/26/2021 19:31:50;Mujer;Universidad;Iztapalapa;25;S√;Tal vez;No;Ninguno;Todas las anteriores;Falta de educacion;No;Indiferencia;;;;;;;;;;;;;;;;;;;;;;;
3/26/2021 19:32:01;Mujer;Secundaria;Miguel Hidalgo;21;S√;S√;S√;Todas las anteriores;Todas las anteriores;Todas las anteriores;S√;Me importa;;;;;;;;;;;;;;;;;;;;;;;
3/26/2021 19:32:35;Hombre;Universidad;¡lvaro ObregÛn;22;S√;S√;No;Ninguno;Todas las anteriores;Todas las anteriores;No;Me importa;;;;;;;;;;;;;;;;;;;;;;;
3/26/2021 19:32:53;Mujer;Primaria;Otro;37;S√;S√;S√;En la familia;Abuso verbal, Golpear, empujar, Agredir psicol√≥gicamente, Menospreciar, Humillar, Acosar, Abuso sexual, Micro agresiones, Todas las anteriore;Falta de educacion, Costumbre familiar;S√;Me importa;;;;;;;;;;;;;;;;;;;;;;;
3/26/2021 19:33:27;Mujer;Preparatoria;Gustavo A. Madero;23;S√;S√;S√;Todas las anteriores;Abuso verbal, Golpear, empujar, Agredir psicol√≥gicamente, Menospreciar, Humillar, Acosar, Abuso sexual, Micro agresiones, Todas las anteriore;Falta de educacion, Costumbre familiar, Negligencia por parte de las autoridades;S√;Me importa;;;;;;;;;;;;;;;;;;;;;;;
3/26/2021 19:33:35;Mujer;Preparatoria;Gustavo A. Madero;23;S√;S√;S√;Todas las anteriores;Abuso verbal, Golpear, empujar, Agredir psicol√≥gicamente, Menospreciar, Humillar, Acosar, Abuso sexual, Micro agresiones, Todas las anteriore;Falta de educacion, Costumbre familiar, Negligencia por parte de las autoridades;S√;Me importa;;;;;;;;;;;;;;;;;;;;;;;
